name,car_name,car_type,is_test
00032_Hyundai Elantra Touring Hatchback 2012.jpg,Hyundai Elantra Touring Hatchback 2012,Sedan,0
00033_Chevrolet Cobalt SS 2010.jpg,Chevrolet Cobalt SS 2010,Coupe,0
00034_Hyundai Veracruz SUV 2012.jpg,Hyundai Veracruz SUV 2012,SUV,0
00035_Land Rover Range Rover SUV 2012.jpg,Land Rover Range Rover SUV 2012,SUV,0
00036_Ferrari 458 Italia Coupe 2012.jpg,Ferrari 458 Italia Coupe 2012,Coupe,0
00037_BMW Z4 Convertible 2012.jpg,BMW Z4 Convertible 2012,Convertible,0
00038_Dodge Charger SRT-8 2009.jpg,Dodge Charger SRT-8 2009,Sedan,0
00039_Fisker Karma Sedan 2012.jpg,Fisker Karma Sedan 2012,Sedan,0
00040_Infiniti QX56 SUV 2011.jpg,Infiniti QX56 SUV 2011,SUV,0
00041_Audi A5 Coupe 2012.jpg,Audi A5 Coupe 2012,Coupe,0
00042_Volkswagen Golf Hatchback 1991.jpg,Volkswagen Golf Hatchback 1991,Hatchback,0
00043_GMC Savana Van 2012.jpg,GMC Savana Van 2012,Van,0
00044_BMW Z4 Convertible 2012.jpg,BMW Z4 Convertible 2012,Convertible,0
00045_Toyota Sequoia SUV 2012.jpg,Toyota Sequoia SUV 2012,SUV,0
00046_Audi TT RS Coupe 2012.jpg,Audi TT RS Coupe 2012,Coupe,0
00047_Volvo 240 Sedan 1993.jpg,Volvo 240 Sedan 1993,Sedan,0
00048_Rolls-Royce Phantom Sedan 2012.jpg,Rolls-Royce Phantom Sedan 2012,Sedan,0
00049_Porsche Panamera Sedan 2012.jpg,Porsche Panamera Sedan 2012,Hatchback,0
00050_Bentley Continental GT Coupe 2012.jpg,Bentley Continental GT Coupe 2012,Coupe,0
00051_Dodge Dakota Club Cab 2007.jpg,Dodge Dakota Club Cab 2007,Pickup,0
00052_Jeep Grand Cherokee SUV 2012.jpg,Jeep Grand Cherokee SUV 2012,SUV,0
00053_Audi R8 Coupe 2012.jpg,Audi R8 Coupe 2012,Coupe,0
00054_Dodge Charger SRT-8 2009.jpg,Dodge Charger SRT-8 2009,Sedan,0
00055_Bentley Continental GT Coupe 2012.jpg,Bentley Continental GT Coupe 2012,Coupe,0
00056_Cadillac Escalade EXT Crew Cab 2007.jpg,Cadillac Escalade EXT Crew Cab 2007,SUV,0
00057_Bentley Continental Flying Spur Sedan 2007.jpg,Bentley Continental Flying Spur Sedan 2007,Coupe,0
00058_Chevrolet Avalanche Crew Cab 2012.jpg,Chevrolet Avalanche Crew Cab 2012,Pickup,0
00059_Dodge Dakota Crew Cab 2010.jpg,Dodge Dakota Crew Cab 2010,Pickup,0
00060_HUMMER H3T Crew Cab 2010.jpg,HUMMER H3T Crew Cab 2010,Cab,0
00061_Ford F-150 Regular Cab 2007.jpg,Ford F-150 Regular Cab 2007,Pickup,0
00062_Volkswagen Golf Hatchback 2012.jpg,Volkswagen Golf Hatchback 2012,Hatchback,0
00063_Ferrari FF Coupe 2012.jpg,Ferrari FF Coupe 2012,Hatchback,0
00064_Toyota Camry Sedan 2012.jpg,Toyota Camry Sedan 2012,Sedan,0
00065_Aston Martin V8 Vantage Convertible 2012.jpg,Aston Martin V8 Vantage Convertible 2012,Convertible,0
00066_Audi 100 Sedan 1994.jpg,Audi 100 Sedan 1994,Sedan,0
00067_Ford Ranger SuperCab 2011.jpg,Ford Ranger SuperCab 2011,Pickup,0
00068_GMC Canyon Extended Cab 2012.jpg,GMC Canyon Extended Cab 2012,Pickup,0
00069_Acura TSX Sedan 2012.jpg,Acura TSX Sedan 2012,Sedan,0
00070_BMW 3 Series Sedan 2012.jpg,BMW 3 Series Sedan 2012,Sedan,0
00071_Honda Odyssey Minivan 2012.jpg,Honda Odyssey Minivan 2012,Minivan,0
00072_Dodge Durango SUV 2012.jpg,Dodge Durango SUV 2012,SUV,0
00073_Ford F-450 Super Duty Crew Cab 2012.jpg,Ford F-450 Super Duty Crew Cab 2012,Pickup,0
00074_Ford F-450 Super Duty Crew Cab 2012.jpg,Ford F-450 Super Duty Crew Cab 2012,Pickup,0
00075_Toyota Corolla Sedan 2012.jpg,Toyota Corolla Sedan 2012,Sedan,0
00076_Chevrolet Camaro Convertible 2012.jpg,Chevrolet Camaro Convertible 2012,Convertible,0
00077_Ford Edge SUV 2012.jpg,Ford Edge SUV 2012,Crossover,0
00078_Bentley Continental GT Coupe 2007.jpg,Bentley Continental GT Coupe 2007,Coupe,0
00079_Hyundai Veracruz SUV 2012.jpg,Hyundai Veracruz SUV 2012,SUV,0
00080_Ford Ranger SuperCab 2011.jpg,Ford Ranger SuperCab 2011,Pickup,0
00081_Aston Martin V8 Vantage Convertible 2012.jpg,Aston Martin V8 Vantage Convertible 2012,Convertible,0
00082_Volkswagen Beetle Hatchback 2012.jpg,Volkswagen Beetle Hatchback 2012,Coupe,0
00083_Audi 100 Wagon 1994.jpg,Audi 100 Wagon 1994,Wagon,0
00084_Ford E-Series Wagon Van 2012.jpg,Ford E-Series Wagon Van 2012,Van,0
00085_Buick Verano Sedan 2012.jpg,Buick Verano Sedan 2012,Sedan,0
00086_Jeep Patriot SUV 2012.jpg,Jeep Patriot SUV 2012,SUV,0
00087_Buick Verano Sedan 2012.jpg,Buick Verano Sedan 2012,Sedan,0
00088_Nissan Juke Hatchback 2012.jpg,Nissan Juke Hatchback 2012,SUV,0
00089_Audi S6 Sedan 2011.jpg,Audi S6 Sedan 2011,Sedan,0
00090_Ford F-150 Regular Cab 2007.jpg,Ford F-150 Regular Cab 2007,Pickup,0
00091_Mercedes-Benz S-Class Sedan 2012.jpg,Mercedes-Benz S-Class Sedan 2012,Sedan,0
00092_Hyundai Sonata Sedan 2012.jpg,Hyundai Sonata Sedan 2012,Sedan,0
00093_Rolls-Royce Phantom Drophead Coupe Convertible 2012.jpg,Rolls-Royce Phantom Drophead Coupe Convertible 2012,Sedan,0
00094_Ford GT Coupe 2006.jpg,Ford GT Coupe 2006,Coupe,0
00095_GMC Canyon Extended Cab 2012.jpg,GMC Canyon Extended Cab 2012,Pickup,0
00096_Ferrari 458 Italia Coupe 2012.jpg,Ferrari 458 Italia Coupe 2012,Coupe,0
00097_Chevrolet Corvette Ron Fellows Edition Z06 2007.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007,Coupe,0
00098_Cadillac CTS-V Sedan 2012.jpg,Cadillac CTS-V Sedan 2012,Sedan,0
00099_BMW X3 SUV 2012.jpg,BMW X3 SUV 2012,SUV,0
00100_Chevrolet Express Van 2007.jpg,Chevrolet Express Van 2007,Van,0
00101_Volvo C30 Hatchback 2012.jpg,Volvo C30 Hatchback 2012,Hatchback,0
00102_Fisker Karma Sedan 2012.jpg,Fisker Karma Sedan 2012,Sedan,0
00103_Chevrolet Impala Sedan 2007.jpg,Chevrolet Impala Sedan 2007,Sedan,0
00104_Chevrolet Silverado 1500 Extended Cab 2012.jpg,Chevrolet Silverado 1500 Extended Cab 2012,Pickup,0
00105_Hyundai Veracruz SUV 2012.jpg,Hyundai Veracruz SUV 2012,SUV,0
00106_Mercedes-Benz C-Class Sedan 2012.jpg,Mercedes-Benz C-Class Sedan 2012,Sedan,0
00107_Hyundai Santa Fe SUV 2012.jpg,Hyundai Santa Fe SUV 2012,SUV,0
00108_Dodge Sprinter Cargo Van 2009.jpg,Dodge Sprinter Cargo Van 2009,Van,0
00109_GMC Acadia SUV 2012.jpg,GMC Acadia SUV 2012,SUV,0
00110_Spyker C8 Coupe 2009.jpg,Spyker C8 Coupe 2009,Coupe,0
00111_Spyker C8 Coupe 2009.jpg,Spyker C8 Coupe 2009,Coupe,0
00112_Hyundai Genesis Sedan 2012.jpg,Hyundai Genesis Sedan 2012,Sedan,0
00113_Hyundai Veracruz SUV 2012.jpg,Hyundai Veracruz SUV 2012,SUV,0
00114_Chevrolet Express Van 2007.jpg,Chevrolet Express Van 2007,Van,0
00115_Dodge Caliber Wagon 2012.jpg,Dodge Caliber Wagon 2012,Hatchback,0
00116_Ford Edge SUV 2012.jpg,Ford Edge SUV 2012,Crossover,0
00117_Bentley Continental GT Coupe 2012.jpg,Bentley Continental GT Coupe 2012,Coupe,0
00118_Rolls-Royce Phantom Sedan 2012.jpg,Rolls-Royce Phantom Sedan 2012,Sedan,0
00119_Jeep Liberty SUV 2012.jpg,Jeep Liberty SUV 2012,SUV,0
00120_Mercedes-Benz 300-Class Convertible 1993.jpg,Mercedes-Benz 300-Class Convertible 1993,Convertible,0
00121_Ford Expedition EL SUV 2009.jpg,Ford Expedition EL SUV 2009,SUV,0
00122_BMW 1 Series Coupe 2012.jpg,BMW 1 Series Coupe 2012,Coupe,0
00123_Jaguar XK XKR 2012.jpg,Jaguar XK XKR 2012,Coupe,0
00124_Cadillac Escalade EXT Crew Cab 2007.jpg,Cadillac Escalade EXT Crew Cab 2007,SUV,0
00125_BMW 3 Series Sedan 2012.jpg,BMW 3 Series Sedan 2012,Sedan,0
00126_Chevrolet Cobalt SS 2010.jpg,Chevrolet Cobalt SS 2010,Coupe,0
00127_Chrysler 300 SRT-8 2010.jpg,Chrysler 300 SRT-8 2010,Sedan,0
00128_Audi A5 Coupe 2012.jpg,Audi A5 Coupe 2012,Coupe,0
00129_Hyundai Accent Sedan 2012.jpg,Hyundai Accent Sedan 2012,Sedan,0
00130_Isuzu Ascender SUV 2008.jpg,Isuzu Ascender SUV 2008,SUV,0
00131_Nissan 240SX Coupe 1998.jpg,Nissan 240SX Coupe 1998,Coupe,0
00132_Dodge Journey SUV 2012.jpg,Dodge Journey SUV 2012,Crossover,0
00133_Hyundai Elantra Sedan 2007.jpg,Hyundai Elantra Sedan 2007,Sedan,0
00134_Mercedes-Benz 300-Class Convertible 1993.jpg,Mercedes-Benz 300-Class Convertible 1993,Convertible,0
00135_Chevrolet Traverse SUV 2012.jpg,Chevrolet Traverse SUV 2012,Crossover,0
00136_GMC Canyon Extended Cab 2012.jpg,GMC Canyon Extended Cab 2012,Pickup,0
00137_Scion xD Hatchback 2012.jpg,Scion xD Hatchback 2012,Hatchback,0
00138_Chevrolet Corvette ZR1 2012.jpg,Chevrolet Corvette ZR1 2012,Coupe,0
00139_Suzuki SX4 Sedan 2012.jpg,Suzuki SX4 Sedan 2012,Sedan,0
00140_Volkswagen Golf Hatchback 1991.jpg,Volkswagen Golf Hatchback 1991,Hatchback,0
00141_Bentley Arnage Sedan 2009.jpg,Bentley Arnage Sedan 2009,Sedan,0
00142_Chevrolet HHR SS 2010.jpg,Chevrolet HHR SS 2010,Hatchback,0
00143_Land Rover LR2 SUV 2012.jpg,Land Rover LR2 SUV 2012,SUV,0
00144_Chevrolet Express Van 2007.jpg,Chevrolet Express Van 2007,Van,0
00145_Hyundai Azera Sedan 2012.jpg,Hyundai Azera Sedan 2012,Sedan,0
00146_Bentley Continental GT Coupe 2012.jpg,Bentley Continental GT Coupe 2012,Coupe,0
00147_Chrysler Aspen SUV 2009.jpg,Chrysler Aspen SUV 2009,SUV,0
00148_Toyota Camry Sedan 2012.jpg,Toyota Camry Sedan 2012,Sedan,0
00149_Dodge Ram Pickup 3500 Crew Cab 2010.jpg,Dodge Ram Pickup 3500 Crew Cab 2010,Pickup,0
00150_Aston Martin V8 Vantage Convertible 2012.jpg,Aston Martin V8 Vantage Convertible 2012,Convertible,0
00151_Acura TSX Sedan 2012.jpg,Acura TSX Sedan 2012,Sedan,0
00152_Buick Regal GS 2012.jpg,Buick Regal GS 2012,Sedan,0
00153_BMW 3 Series Wagon 2012.jpg,BMW 3 Series Wagon 2012,Wagon,0
00154_Audi 100 Wagon 1994.jpg,Audi 100 Wagon 1994,Wagon,0
00155_Jeep Compass SUV 2012.jpg,Jeep Compass SUV 2012,Crossover,0
00156_Ram CV Cargo Van Minivan 2012.jpg,Ram C/V Cargo Van Minivan 2012,Minivan,0
00157_Hyundai Sonata Sedan 2012.jpg,Hyundai Sonata Sedan 2012,Sedan,0
00158_Spyker C8 Convertible 2009.jpg,Spyker C8 Convertible 2009,Convertible,0
00159_Audi S4 Sedan 2007.jpg,Audi S4 Sedan 2007,Sedan,0
00160_Bentley Continental GT Coupe 2012.jpg,Bentley Continental GT Coupe 2012,Coupe,0
00161_Chevrolet Malibu Sedan 2007.jpg,Chevrolet Malibu Sedan 2007,Sedan,0
00162_Rolls-Royce Ghost Sedan 2012.jpg,Rolls-Royce Ghost Sedan 2012,Sedan,0
00163_AM General Hummer SUV 2000.jpg,AM General Hummer SUV 2000,SUV,0
00164_BMW X3 SUV 2012.jpg,BMW X3 SUV 2012,SUV,0
00165_BMW M6 Convertible 2010.jpg,BMW M6 Convertible 2010,Coupe,0
00166_Ford Freestar Minivan 2007.jpg,Ford Freestar Minivan 2007,Minivan,0
00167_Bentley Mulsanne Sedan 2011.jpg,Bentley Mulsanne Sedan 2011,Sedan,0
00168_Bentley Arnage Sedan 2009.jpg,Bentley Arnage Sedan 2009,Sedan,0
00169_GMC Savana Van 2012.jpg,GMC Savana Van 2012,Van,0
00170_GMC Savana Van 2012.jpg,GMC Savana Van 2012,Van,0
00171_Audi TT Hatchback 2011.jpg,Audi TT Hatchback 2011,Hatchback,0
00172_Mercedes-Benz SL-Class Coupe 2009.jpg,Mercedes-Benz SL-Class Coupe 2009,Coupe,0
00173_GMC Yukon Hybrid SUV 2012.jpg,GMC Yukon Hybrid SUV 2012,SUV,0
00174_Chevrolet Silverado 1500 Hybrid Crew Cab 2012.jpg,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,Pickup,0
00175_Ford E-Series Wagon Van 2012.jpg,Ford E-Series Wagon Van 2012,Van,0
00176_Chevrolet Cobalt SS 2010.jpg,Chevrolet Cobalt SS 2010,Coupe,0
00177_Buick Enclave SUV 2012.jpg,Buick Enclave SUV 2012,SUV,0
00178_GMC Canyon Extended Cab 2012.jpg,GMC Canyon Extended Cab 2012,Pickup,0
00179_Land Rover LR2 SUV 2012.jpg,Land Rover LR2 SUV 2012,SUV,0
00180_Infiniti QX56 SUV 2011.jpg,Infiniti QX56 SUV 2011,SUV,0
00181_Chevrolet TrailBlazer SS 2009.jpg,Chevrolet TrailBlazer SS 2009,SUV,0
00182_Nissan Juke Hatchback 2012.jpg,Nissan Juke Hatchback 2012,SUV,0
00183_Mercedes-Benz 300-Class Convertible 1993.jpg,Mercedes-Benz 300-Class Convertible 1993,Convertible,0
00184_Mercedes-Benz 300-Class Convertible 1993.jpg,Mercedes-Benz 300-Class Convertible 1993,Convertible,0
00185_Hyundai Veracruz SUV 2012.jpg,Hyundai Veracruz SUV 2012,SUV,0
00186_HUMMER H2 SUT Crew Cab 2009.jpg,HUMMER H2 SUT Crew Cab 2009,SUV,0
00187_McLaren MP4-12C Coupe 2012.jpg,McLaren MP4-12C Coupe 2012,Coupe,0
00188_Dodge Challenger SRT8 2011.jpg,Dodge Challenger SRT8 2011,Coupe,0
00189_Suzuki SX4 Hatchback 2012.jpg,Suzuki SX4 Hatchback 2012,Hatchback,0
00190_Bugatti Veyron 16.4 Convertible 2009.jpg,Bugatti Veyron 16.4 Convertible 2009,Convertible,0
00191_Isuzu Ascender SUV 2008.jpg,Isuzu Ascender SUV 2008,SUV,0
00192_Toyota 4Runner SUV 2012.jpg,Toyota 4Runner SUV 2012,SUV,0
00193_Buick Rainier SUV 2007.jpg,Buick Rainier SUV 2007,SUV,0
00194_Rolls-Royce Ghost Sedan 2012.jpg,Rolls-Royce Ghost Sedan 2012,Sedan,0
00195_Chrysler Sebring Convertible 2010.jpg,Chrysler Sebring Convertible 2010,Convertible,0
00196_Volkswagen Golf Hatchback 2012.jpg,Volkswagen Golf Hatchback 2012,Hatchback,0
00197_Ford Edge SUV 2012.jpg,Ford Edge SUV 2012,Crossover,0
00198_Acura Integra Type R 2001.jpg,Acura Integra Type R 2001,Compact car,0
00199_Volkswagen Golf Hatchback 1991.jpg,Volkswagen Golf Hatchback 1991,Hatchback,0
00200_Audi V8 Sedan 1994.jpg,Audi V8 Sedan 1994,Sedan,0
00201_Audi RS 4 Convertible 2008.jpg,Audi RS 4 Convertible 2008,Convertible,0
00202_Dodge Dakota Crew Cab 2010.jpg,Dodge Dakota Crew Cab 2010,Pickup,0
00203_Toyota Corolla Sedan 2012.jpg,Toyota Corolla Sedan 2012,Sedan,0
00204_Honda Accord Coupe 2012.jpg,Honda Accord Coupe 2012,Coupe,0
00205_Audi S4 Sedan 2012.jpg,Audi S4 Sedan 2012,Sedan,0
00206_Aston Martin Virage Coupe 2012.jpg,Aston Martin Virage Coupe 2012,Coupe,0
00207_Dodge Challenger SRT8 2011.jpg,Dodge Challenger SRT8 2011,Coupe,0
00208_Aston Martin V8 Vantage Convertible 2012.jpg,Aston Martin V8 Vantage Convertible 2012,Convertible,0
00209_Chevrolet Sonic Sedan 2012.jpg,Chevrolet Sonic Sedan 2012,Sedan,0
00210_Porsche Panamera Sedan 2012.jpg,Porsche Panamera Sedan 2012,Hatchback,0
00211_Rolls-Royce Ghost Sedan 2012.jpg,Rolls-Royce Ghost Sedan 2012,Sedan,0
00212_Chevrolet Monte Carlo Coupe 2007.jpg,Chevrolet Monte Carlo Coupe 2007,Coupe,0
00213_Volvo XC90 SUV 2007.jpg,Volvo XC90 SUV 2007,SUV,0
00214_Ford F-150 Regular Cab 2007.jpg,Ford F-150 Regular Cab 2007,Pickup,0
00215_Chevrolet Monte Carlo Coupe 2007.jpg,Chevrolet Monte Carlo Coupe 2007,Coupe,0
00216_GMC Savana Van 2012.jpg,GMC Savana Van 2012,Van,0
00217_Audi 100 Wagon 1994.jpg,Audi 100 Wagon 1994,Wagon,0
00218_Chrysler Sebring Convertible 2010.jpg,Chrysler Sebring Convertible 2010,Convertible,0
00219_Audi 100 Wagon 1994.jpg,Audi 100 Wagon 1994,Wagon,0
00220_Ford Mustang Convertible 2007.jpg,Ford Mustang Convertible 2007,Convertible,0
00221_Aston Martin Virage Convertible 2012.jpg,Aston Martin Virage Convertible 2012,Convertible,0
00222_smart fortwo Convertible 2012.jpg,smart fortwo Convertible 2012,Convertible,0
00223_FIAT 500 Abarth 2012.jpg,FIAT 500 Abarth 2012,Compact car,0
00224_Dodge Sprinter Cargo Van 2009.jpg,Dodge Sprinter Cargo Van 2009,Van,0
00225_GMC Acadia SUV 2012.jpg,GMC Acadia SUV 2012,SUV,0
00226_Ford Ranger SuperCab 2011.jpg,Ford Ranger SuperCab 2011,Pickup,0
00227_Chevrolet Impala Sedan 2007.jpg,Chevrolet Impala Sedan 2007,Sedan,0
00228_Infiniti G Coupe IPL 2012.jpg,Infiniti G Coupe IPL 2012,Coupe,0
00229_Hyundai Accent Sedan 2012.jpg,Hyundai Accent Sedan 2012,Sedan,0
00230_Suzuki SX4 Hatchback 2012.jpg,Suzuki SX4 Hatchback 2012,Hatchback,0
00231_Ford F-450 Super Duty Crew Cab 2012.jpg,Ford F-450 Super Duty Crew Cab 2012,Pickup,0
00232_Dodge Caliber Wagon 2007.jpg,Dodge Caliber Wagon 2007,Hatchback,0
00233_Volvo 240 Sedan 1993.jpg,Volvo 240 Sedan 1993,Sedan,0
00234_Hyundai Tucson SUV 2012.jpg,Hyundai Tucson SUV 2012,SUV,0
00235_Ford Ranger SuperCab 2011.jpg,Ford Ranger SuperCab 2011,Pickup,0
00236_Acura ZDX Hatchback 2012.jpg,Acura ZDX Hatchback 2012,Crossover,0
00237_Chevrolet Avalanche Crew Cab 2012.jpg,Chevrolet Avalanche Crew Cab 2012,Pickup,0
00238_BMW ActiveHybrid 5 Sedan 2012.jpg,BMW ActiveHybrid 5 Sedan 2012,Sedan,0
00239_Audi V8 Sedan 1994.jpg,Audi V8 Sedan 1994,Sedan,0
00240_Hyundai Sonata Sedan 2012.jpg,Hyundai Sonata Sedan 2012,Sedan,0
00241_Nissan Juke Hatchback 2012.jpg,Nissan Juke Hatchback 2012,SUV,0
00242_Ferrari California Convertible 2012.jpg,Ferrari California Convertible 2012,Convertible,0
00243_Nissan Leaf Hatchback 2012.jpg,Nissan Leaf Hatchback 2012,Hatchback,0
00244_Acura ZDX Hatchback 2012.jpg,Acura ZDX Hatchback 2012,Crossover,0
00245_Chevrolet Impala Sedan 2007.jpg,Chevrolet Impala Sedan 2007,Sedan,0
00246_Mitsubishi Lancer Sedan 2012.jpg,Mitsubishi Lancer Sedan 2012,Sedan,0
00247_Hyundai Genesis Sedan 2012.jpg,Hyundai Genesis Sedan 2012,Sedan,0
00248_Rolls-Royce Phantom Sedan 2012.jpg,Rolls-Royce Phantom Sedan 2012,Sedan,0
00249_Lamborghini Diablo Coupe 2001.jpg,Lamborghini Diablo Coupe 2001,Coupe,0
00250_Volkswagen Golf Hatchback 2012.jpg,Volkswagen Golf Hatchback 2012,Hatchback,0
00251_Mitsubishi Lancer Sedan 2012.jpg,Mitsubishi Lancer Sedan 2012,Sedan,0
00252_Fisker Karma Sedan 2012.jpg,Fisker Karma Sedan 2012,Sedan,0
00253_Buick Enclave SUV 2012.jpg,Buick Enclave SUV 2012,SUV,0
00254_Hyundai Santa Fe SUV 2012.jpg,Hyundai Santa Fe SUV 2012,SUV,0
00255_Acura Integra Type R 2001.jpg,Acura Integra Type R 2001,Compact car,0
00256_Audi S5 Convertible 2012.jpg,Audi S5 Convertible 2012,Convertible,0
00257_BMW 6 Series Convertible 2007.jpg,BMW 6 Series Convertible 2007,Convertible,0
00258_Cadillac CTS-V Sedan 2012.jpg,Cadillac CTS-V Sedan 2012,Sedan,0
00259_Toyota Camry Sedan 2012.jpg,Toyota Camry Sedan 2012,Sedan,0
00260_Hyundai Sonata Hybrid Sedan 2012.jpg,Hyundai Sonata Hybrid Sedan 2012,Sedan,0
00261_Audi V8 Sedan 1994.jpg,Audi V8 Sedan 1994,Sedan,0
00262_Ferrari 458 Italia Convertible 2012.jpg,Ferrari 458 Italia Convertible 2012,Convertible,0
00263_Bentley Arnage Sedan 2009.jpg,Bentley Arnage Sedan 2009,Sedan,0
00264_Chevrolet Silverado 2500HD Regular Cab 2012.jpg,Chevrolet Silverado 2500HD Regular Cab 2012,Pickup,0
00265_Chevrolet Corvette Convertible 2012.jpg,Chevrolet Corvette Convertible 2012,Convertible,0
00266_Audi 100 Sedan 1994.jpg,Audi 100 Sedan 1994,Sedan,0
00267_Bugatti Veyron 16.4 Coupe 2009.jpg,Bugatti Veyron 16.4 Coupe 2009,Convertible,0
00268_Chevrolet Silverado 1500 Extended Cab 2012.jpg,Chevrolet Silverado 1500 Extended Cab 2012,Pickup,0
00269_Tesla Model S Sedan 2012.jpg,Tesla Model S Sedan 2012,Sedan,0
00270_GMC Canyon Extended Cab 2012.jpg,GMC Canyon Extended Cab 2012,Pickup,0
00271_Ram CV Cargo Van Minivan 2012.jpg,Ram C/V Cargo Van Minivan 2012,Minivan,0
00272_FIAT 500 Convertible 2012.jpg,FIAT 500 Convertible 2012,Convertible,0
00273_Chevrolet Silverado 2500HD Regular Cab 2012.jpg,Chevrolet Silverado 2500HD Regular Cab 2012,Pickup,0
00274_Audi S6 Sedan 2011.jpg,Audi S6 Sedan 2011,Sedan,0
00275_Hyundai Veloster Hatchback 2012.jpg,Hyundai Veloster Hatchback 2012,Hatchback,0
00276_Hyundai Tucson SUV 2012.jpg,Hyundai Tucson SUV 2012,SUV,0
00277_Porsche Panamera Sedan 2012.jpg,Porsche Panamera Sedan 2012,Hatchback,0
00278_Lincoln Town Car Sedan 2011.jpg,Lincoln Town Car Sedan 2011,Sedan,0
00279_Buick Regal GS 2012.jpg,Buick Regal GS 2012,Sedan,0
00280_Ford Mustang Convertible 2007.jpg,Ford Mustang Convertible 2007,Convertible,0
00281_Lamborghini Aventador Coupe 2012.jpg,Lamborghini Aventador Coupe 2012,Coupe,0
00282_Chevrolet Impala Sedan 2007.jpg,Chevrolet Impala Sedan 2007,Sedan,0
00283_Fisker Karma Sedan 2012.jpg,Fisker Karma Sedan 2012,Sedan,0
00284_Dodge Durango SUV 2012.jpg,Dodge Durango SUV 2012,SUV,0
00285_Volvo 240 Sedan 1993.jpg,Volvo 240 Sedan 1993,Sedan,0
00286_Volvo XC90 SUV 2007.jpg,Volvo XC90 SUV 2007,SUV,0
00287_Dodge Dakota Club Cab 2007.jpg,Dodge Dakota Club Cab 2007,Pickup,0
00288_Toyota 4Runner SUV 2012.jpg,Toyota 4Runner SUV 2012,SUV,0
00289_Audi R8 Coupe 2012.jpg,Audi R8 Coupe 2012,Coupe,0
00290_Hyundai Azera Sedan 2012.jpg,Hyundai Azera Sedan 2012,Sedan,0
00291_Infiniti QX56 SUV 2011.jpg,Infiniti QX56 SUV 2011,SUV,0
00292_Aston Martin Virage Convertible 2012.jpg,Aston Martin Virage Convertible 2012,Convertible,0
00293_Ferrari 458 Italia Coupe 2012.jpg,Ferrari 458 Italia Coupe 2012,Coupe,0
